station,time,delay,platform,vehicle,destination,train_type,route
Gent,1767701520,0,4,BE.NMBS.S51762,Eeklo,,
Gent,1767701520,0,8,BE.NMBS.IC1833,Ostend,,
Gent,1767702060,0,5,BE.NMBS.L562,Mechelen,,
Gent,1767702120,0,12,BE.NMBS.IC2834,Knokke,,
Gent,1767702180,0,6,BE.NMBS.S53683,Oudenaarde,,
Gent,1767702300,0,10,BE.NMBS.IC512,Eupen,,
Gent,1767702420,0,4,BE.NMBS.IC734,Antwerp-Central,,
Gent,1767702960,0,7,BE.NMBS.IC712,Poperinge,,
Gent,1767703140,0,12,BE.NMBS.IC534,Ostend,,
Gent,1767703140,0,9,BE.NMBS.IC2213,Brussels Airport - Zaventem,,
Gent,1767703260,0,10,BE.NMBS.IC2812,Liège-Guillemins,,
Gent,1767703320,0,4,BE.NMBS.S53663,Lokeren,,
Gent,1767703500,0,11,BE.NMBS.L584,Zeebrugge-Dorp,,
Gent,1767703980,0,5,BE.NMBS.IC1813,Antwerp-Central,,
Gent,1767703980,60,8,BE.NMBS.IC3012,De Panne,,
Gent,1767704100,0,9,BE.NMBS.IC413,Welkenraedt,,
Gent,1767704220,0,6,BE.NMBS.S51784,Ronse/Renaix,,
Gent,1767704220,0,4,BE.NMBS.IC4113,Leuven,,
Gent,1767704400,0,11,BE.NMBS.IC1513,Genk,,
Gent,1767704400,0,12,BE.NMBS.IC1534,Blankenberge,,
Gent,1767704700,0,9,BE.NMBS.S521864,Geraardsbergen,,
Gent,1767704940,0,5,BE.NMBS.IC3035,Antwerp-Central,,
Gent,1767704940,0,11,BE.NMBS.IC434,Kortrijk,,
Gent,1767705060,60,6,BE.NMBS.IC1834,Ostend,,
Gent,1767705120,0,4,BE.NMBS.S51763,Eeklo,,
Gent,1767705180,0,10,BE.NMBS.IC3614,Genk,,
Gent,1767702060,0,5,BE.NMBS.L562,Mechelen,,,,,Tuesday,13
Gent,1767702120,0,12,BE.NMBS.IC2834,Knokke,,,,,Tuesday,13
Gent,1767702180,0,6,BE.NMBS.S53683,Oudenaarde,,,,,Tuesday,13
Gent,1767702300,0,10,BE.NMBS.IC512,Eupen,,,,,Tuesday,13
Gent,1767702420,0,4,BE.NMBS.IC734,Antwerp-Central,,,,,Tuesday,13
Gent,1767702960,0,7,BE.NMBS.IC712,Poperinge,,,,,Tuesday,13
Gent,1767703140,0,12,BE.NMBS.IC534,Ostend,,,,,Tuesday,13
Gent,1767703140,0,9,BE.NMBS.IC2213,Brussels Airport - Zaventem,,,,,Tuesday,13
Gent,1767703260,0,10,BE.NMBS.IC2812,Liège-Guillemins,,,,,Tuesday,13
Gent,1767703320,0,4,BE.NMBS.S53663,Lokeren,,,,,Tuesday,13
Gent,1767703500,0,11,BE.NMBS.L584,Zeebrugge-Dorp,,,,,Tuesday,13
Gent,1767703980,0,5,BE.NMBS.IC1813,Antwerp-Central,,,,,Tuesday,13
Gent,1767703980,60,8,BE.NMBS.IC3012,De Panne,,,,,Tuesday,13
Gent,1767704100,0,9,BE.NMBS.IC413,Welkenraedt,,,,,Tuesday,13
Gent,1767704220,0,6,BE.NMBS.S51784,Ronse/Renaix,,,,,Tuesday,13
Gent,1767704220,0,4,BE.NMBS.IC4113,Leuven,,,,,Tuesday,13
Gent,1767704400,0,11,BE.NMBS.IC1513,Genk,,,,,Tuesday,14
Gent,1767704400,0,12,BE.NMBS.IC1534,Blankenberge,,,,,Tuesday,14
Gent,1767704700,0,9,BE.NMBS.S521864,Geraardsbergen,,,,,Tuesday,14
Gent,1767704940,0,5,BE.NMBS.IC3035,Antwerp-Central,,,,,Tuesday,14
Gent,1767704940,0,11,BE.NMBS.IC434,Kortrijk,,,,,Tuesday,14
Gent,1767705060,60,6,BE.NMBS.IC1834,Ostend,,,,,Tuesday,14
Gent,1767705120,0,4,BE.NMBS.S51763,Eeklo,,,,,Tuesday,14
Gent,1767705180,0,10,BE.NMBS.IC3614,Genk,,,,,Tuesday,14
Gent,1767705660,0,11,BE.NMBS.L563,Mechelen,,,,,Tuesday,14
Gent,1767705720,0,12,BE.NMBS.IC2835,Knokke,,,,,Tuesday,14
0,Ostend,"{'@id': 'http://irail.be/stations/NMBS/008891702', 'id': 'BE.NMBS.008891702', 'name': 'Ostend', 'locationX': '2.925809', 'locationY': '51.228212', 'standardname': 'Oostende'}",1767704340,0,0,0,0,BE.NMBS.IC535,"{'name': 'BE.NMBS.IC535', 'shortname': 'IC 535', 'number': '535', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC535'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC535
1,Brussels-South/Brussels-Midi,"{'@id': 'http://irail.be/stations/NMBS/008814001', 'id': 'BE.NMBS.008814001', 'name': 'Brussels-South/Brussels-Midi', 'locationX': '4.336531', 'locationY': '50.835707', 'standardname': 'Brussel-Zuid/Bruxelles-Midi'}",1767704340,1920,0,0,0,BE.NMBS.IC3134,"{'name': 'BE.NMBS.IC3134', 'shortname': 'IC 3134', 'number': '3134', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3134'}",6,"{'name': '6', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3134
2,Kortrijk,"{'@id': 'http://irail.be/stations/NMBS/008896008', 'id': 'BE.NMBS.008896008', 'name': 'Kortrijk', 'locationX': '3.264549', 'locationY': '50.824506', 'standardname': 'Kortrijk'}",1767704400,0,0,0,0,BE.NMBS.IC5135,"{'name': 'BE.NMBS.IC5135', 'shortname': 'IC 5135', 'number': '5135', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC5135'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC5135
3,Antwerp-Central,"{'@id': 'http://irail.be/stations/NMBS/008821006', 'id': 'BE.NMBS.008821006', 'name': 'Antwerp-Central', 'locationX': '4.421101', 'locationY': '51.2172', 'standardname': 'Antwerpen-Centraal'}",1767704460,0,0,0,0,BE.NMBS.IC3113,"{'name': 'BE.NMBS.IC3113', 'shortname': 'IC 3113', 'number': '3113', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3113'}",5,"{'name': '5', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3113
4,Eupen,"{'@id': 'http://irail.be/stations/NMBS/008844628', 'id': 'BE.NMBS.008844628', 'name': 'Eupen', 'locationX': '6.03711', 'locationY': '50.635157', 'standardname': 'Eupen'}",1767704460,0,0,0,0,BE.NMBS.IC512,"{'name': 'BE.NMBS.IC512', 'shortname': 'IC 512', 'number': '512', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC512'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC512
5,Schaarbeek/Schaerbeek,"{'@id': 'http://irail.be/stations/NMBS/008811007', 'id': 'BE.NMBS.008811007', 'name': 'Schaarbeek/Schaerbeek', 'locationX': '4.378636', 'locationY': '50.878513', 'standardname': 'Schaarbeek/Schaerbeek'}",1767704640,0,0,0,0,BE.NMBS.IC5112,"{'name': 'BE.NMBS.IC5112', 'shortname': 'IC 5112', 'number': '5112', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC5112'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC5112
6,Leuven,"{'@id': 'http://irail.be/stations/NMBS/008833001', 'id': 'BE.NMBS.008833001', 'name': 'Leuven', 'locationX': '4.715866', 'locationY': '50.88228', 'standardname': 'Leuven'}",1767704640,0,0,0,0,BE.NMBS.S23763,"{'name': 'BE.NMBS.S23763', 'shortname': 'S2 3763', 'number': '3763', 'type': 'S2', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S23763'}",5,"{'name': '5', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S23763
7,Tournai,"{'@id': 'http://irail.be/stations/NMBS/008885001', 'id': 'BE.NMBS.008885001', 'name': 'Tournai', 'locationX': '3.396942', 'locationY': '50.613134', 'standardname': 'Tournai'}",1767704760,0,0,0,0,BE.NMBS.IC1935,"{'name': 'BE.NMBS.IC1935', 'shortname': 'IC 1935', 'number': '1935', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC1935'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC1935
8,Aalst,"{'@id': 'http://irail.be/stations/NMBS/008895000', 'id': 'BE.NMBS.008895000', 'name': 'Aalst', 'locationX': '4.039653', 'locationY': '50.942813', 'standardname': 'Aalst'}",1767704760,840,0,0,0,BE.NMBS.S102064,"{'name': 'BE.NMBS.S102064', 'shortname': 'S10 2064', 'number': '2064', 'type': 'S10', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S102064'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S102064
9,Charleroi-Central,"{'@id': 'http://irail.be/stations/NMBS/008872009', 'id': 'BE.NMBS.008872009', 'name': 'Charleroi-Central', 'locationX': '4.438567', 'locationY': '50.40471', 'standardname': 'Charleroi-Central'}",1767704820,120,0,0,0,BE.NMBS.IC2035,"{'name': 'BE.NMBS.IC2035', 'shortname': 'IC 2035', 'number': '2035', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2035'}",6,"{'name': '6', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2035
10,Liège-Saint-Lambert,"{'@id': 'http://irail.be/stations/NMBS/008841525', 'id': 'BE.NMBS.008841525', 'name': 'Liège-Saint-Lambert', 'locationX': '5.570453', 'locationY': '50.646349', 'standardname': 'Liège-Saint-Lambert'}",1767704880,0,0,0,0,BE.NMBS.IC2414,"{'name': 'BE.NMBS.IC2414', 'shortname': 'IC 2414', 'number': '2414', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2414'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2414
11,Antwerp-Central,"{'@id': 'http://irail.be/stations/NMBS/008821006', 'id': 'BE.NMBS.008821006', 'name': 'Antwerp-Central', 'locationX': '4.421101', 'locationY': '51.2172', 'standardname': 'Antwerpen-Centraal'}",1767704940,0,0,0,0,BE.NMBS.S11763,"{'name': 'BE.NMBS.S11763', 'shortname': 'S1 1763', 'number': '1763', 'type': 'S1', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S11763'}",5,"{'name': '5', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S11763
12,Zottegem,"{'@id': 'http://irail.be/stations/NMBS/008895208', 'id': 'BE.NMBS.008895208', 'name': 'Zottegem', 'locationX': '3.81441', 'locationY': '50.869102', 'standardname': 'Zottegem'}",1767704940,0,0,0,0,BE.NMBS.S86585,"{'name': 'BE.NMBS.S86585', 'shortname': 'S8 6585', 'number': '6585', 'type': 'S8', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S86585'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S86585
13,Denderleeuw,"{'@id': 'http://irail.be/stations/NMBS/008895802', 'id': 'BE.NMBS.008895802', 'name': 'Denderleeuw', 'locationX': '4.071825', 'locationY': '50.891925', 'standardname': 'Denderleeuw'}",1767705120,60,0,0,0,BE.NMBS.S32285,"{'name': 'BE.NMBS.S32285', 'shortname': 'S3 2285', 'number': '2285', 'type': 'S3', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S32285'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S32285
14,Brussels-South/Brussels-Midi,"{'@id': 'http://irail.be/stations/NMBS/008814001', 'id': 'BE.NMBS.008814001', 'name': 'Brussels-South/Brussels-Midi', 'locationX': '4.336531', 'locationY': '50.835707', 'standardname': 'Brussel-Zuid/Bruxelles-Midi'}",1767705180,420,0,0,0,BE.NMBS.EC9232,"{'name': 'BE.NMBS.EC9232', 'shortname': 'EC 9232', 'number': '9232', 'type': 'EC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/EC9232'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/EC9232
15,Brussels Airport - Zaventem,"{'@id': 'http://irail.be/stations/NMBS/008819406', 'id': 'BE.NMBS.008819406', 'name': 'Brussels Airport - Zaventem', 'locationX': '4.482076', 'locationY': '50.896456', 'standardname': 'Brussels Airport - Zaventem'}",1767705240,0,0,0,0,BE.NMBS.IC3713,"{'name': 'BE.NMBS.IC3713', 'shortname': 'IC 3713', 'number': '3713', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3713'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3713
16,Genk,"{'@id': 'http://irail.be/stations/NMBS/008831765', 'id': 'BE.NMBS.008831765', 'name': 'Genk', 'locationX': '5.497685', 'locationY': '50.967057', 'standardname': 'Genk'}",1767705360,0,0,0,0,BE.NMBS.IC3613,"{'name': 'BE.NMBS.IC3613', 'shortname': 'IC 3613', 'number': '3613', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3613'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3613
17,Ghent-Sint-Pieters,"{'@id': 'http://irail.be/stations/NMBS/008892007', 'id': 'BE.NMBS.008892007', 'name': 'Ghent-Sint-Pieters', 'locationX': '3.710675', 'locationY': '51.035896', 'standardname': 'Gent-Sint-Pieters'}",1767705360,0,0,0,0,BE.NMBS.IC2235,"{'name': 'BE.NMBS.IC2235', 'shortname': 'IC 2235', 'number': '2235', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2235'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2235
18,Liège-Guillemins,"{'@id': 'http://irail.be/stations/NMBS/008841004', 'id': 'BE.NMBS.008841004', 'name': 'Liège-Guillemins', 'locationX': '5.566695', 'locationY': '50.62455', 'standardname': 'Liège-Guillemins'}",1767705480,0,0,0,0,BE.NMBS.IC2812,"{'name': 'BE.NMBS.IC2812', 'shortname': 'IC 2812', 'number': '2812', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2812'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2812
19,Nivelles,"{'@id': 'http://irail.be/stations/NMBS/008814209', 'id': 'BE.NMBS.008814209', 'name': 'Nivelles', 'locationX': '4.335065', 'locationY': '50.599641', 'standardname': 'Nivelles'}",1767705480,120,0,0,0,BE.NMBS.S11985,"{'name': 'BE.NMBS.S11985', 'shortname': 'S1 1985', 'number': '1985', 'type': 'S1', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S11985'}",6,"{'name': '6', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S11985
20,Quievrain,"{'@id': 'http://irail.be/stations/NMBS/008884335', 'id': 'BE.NMBS.008884335', 'name': 'Quievrain', 'locationX': '3.68608', 'locationY': '50.410103', 'standardname': 'Quievrain'}",1767705480,0,0,0,0,BE.NMBS.IC1735,"{'name': 'BE.NMBS.IC1735', 'shortname': 'IC 1735', 'number': '1735', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC1735'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC1735
21,Blankenberge,"{'@id': 'http://irail.be/stations/NMBS/008891405', 'id': 'BE.NMBS.008891405', 'name': 'Blankenberge', 'locationX': '3.133864', 'locationY': '51.312432', 'standardname': 'Blankenberge'}",1767705660,0,0,0,0,BE.NMBS.IC1535,"{'name': 'BE.NMBS.IC1535', 'shortname': 'IC 1535', 'number': '1535', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC1535'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC1535
22,Dendermonde,"{'@id': 'http://irail.be/stations/NMBS/008893401', 'id': 'BE.NMBS.008893401', 'name': 'Dendermonde', 'locationX': '4.101427', 'locationY': '51.022781', 'standardname': 'Dendermonde'}",1767705720,0,0,0,0,BE.NMBS.IC3212,"{'name': 'BE.NMBS.IC3212', 'shortname': 'IC 3212', 'number': '3212', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3212'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3212
